title,release_date,budget,revenue,roi,year,lista_generos
Avatar,2009-12-10,237000000,2787965087,11.763565767932489,2009,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
Pirates of the Caribbean: At World's End,2007-05-19,300000000,961000000,3.203333333333333,2007,"['Adventure', 'Fantasy', 'Action']"
Spectre,2015-10-26,245000000,880674609,3.5945902408163266,2015,"['Action', 'Adventure', 'Crime']"
The Dark Knight Rises,2012-07-16,250000000,1084939099,4.339756396,2012,"['Action', 'Crime', 'Drama', 'Thriller']"
John Carter,2012-03-07,260000000,284139100,1.0928426923076924,2012,"['Action', 'Adventure', 'Science Fiction']"
Spider-Man 3,2007-05-01,258000000,890871626,3.4529907984496124,2007,"['Fantasy', 'Action', 'Adventure']"
Tangled,2010-11-24,260000000,591794936,2.2761343692307694,2010,"['Animation', 'Family']"
Avengers: Age of Ultron,2015-04-22,280000000,1405403694,5.019298907142857,2015,"['Action', 'Adventure', 'Science Fiction']"
Harry Potter and the Half-Blood Prince,2009-07-07,250000000,933959197,3.735836788,2009,"['Adventure', 'Fantasy', 'Family']"
Batman v Superman: Dawn of Justice,2016-03-23,250000000,873260194,3.493040776,2016,"['Action', 'Adventure', 'Fantasy']"
Superman Returns,2006-06-28,270000000,391081192,1.4484488592592593,2006,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']"
Quantum of Solace,2008-10-30,200000000,586090727,2.930453635,2008,"['Adventure', 'Action', 'Thriller', 'Crime']"
Pirates of the Caribbean: Dead Man's Chest,2006-06-20,200000000,1065659812,5.32829906,2006,"['Adventure', 'Fantasy', 'Action']"
The Lone Ranger,2013-07-03,255000000,89289910,0.35015650980392155,2013,"['Action', 'Adventure', 'Western']"
Man of Steel,2013-06-12,225000000,662845518,2.94598008,2013,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
The Chronicles of Narnia: Prince Caspian,2008-05-15,225000000,419651413,1.8651173911111112,2008,"['Adventure', 'Family', 'Fantasy']"
The Avengers,2012-04-25,220000000,1519557910,6.907081409090909,2012,"['Science Fiction', 'Action', 'Adventure']"
Pirates of the Caribbean: On Stranger Tides,2011-05-14,380000000,1045713802,2.7518784263157894,2011,"['Adventure', 'Action', 'Fantasy']"
Men in Black 3,2012-05-23,225000000,624026776,2.773452337777778,2012,"['Action', 'Comedy', 'Science Fiction']"
The Hobbit: The Battle of the Five Armies,2014-12-10,250000000,956019788,3.824079152,2014,"['Action', 'Adventure', 'Fantasy']"
The Amazing Spider-Man,2012-06-27,215000000,752215857,3.4986784046511628,2012,"['Action', 'Adventure', 'Fantasy']"
Robin Hood,2010-05-12,200000000,310669540,1.5533477,2010,"['Action', 'Adventure']"
The Hobbit: The Desolation of Smaug,2013-12-11,250000000,958400000,3.8336,2013,"['Adventure', 'Fantasy']"
The Golden Compass,2007-12-04,180000000,372234864,2.0679714666666666,2007,"['Adventure', 'Fantasy']"
King Kong,2005-12-14,207000000,550000000,2.657004830917874,2005,"['Adventure', 'Drama', 'Action']"
Titanic,1997-11-18,200000000,1845034188,9.22517094,1997,"['Drama', 'Romance', 'Thriller']"
Captain America: Civil War,2016-04-27,250000000,1153304495,4.61321798,2016,"['Adventure', 'Action', 'Science Fiction']"
Battleship,2012-04-11,209000000,303025485,1.4498827033492823,2012,"['Thriller', 'Action', 'Adventure', 'Science Fiction']"
Jurassic World,2015-06-09,150000000,1513528810,10.090192066666667,2015,"['Action', 'Adventure', 'Science Fiction', 'Thriller']"
Skyfall,2012-10-25,200000000,1108561013,5.542805065,2012,"['Action', 'Adventure', 'Thriller']"
Spider-Man 2,2004-06-25,200000000,783766341,3.918831705,2004,"['Action', 'Adventure', 'Fantasy']"
Iron Man 3,2013-04-18,200000000,1215439994,6.07719997,2013,"['Action', 'Adventure', 'Science Fiction']"
Alice in Wonderland,2010-03-03,200000000,1025491110,5.12745555,2010,"['Family', 'Fantasy', 'Adventure']"
X-Men: The Last Stand,2006-05-24,210000000,459359555,2.1874264523809526,2006,"['Adventure', 'Action', 'Science Fiction', 'Thriller']"
Monsters University,2013-06-20,200000000,743559607,3.717798035,2013,"['Animation', 'Family']"
Transformers: Revenge of the Fallen,2009-06-19,150000000,836297228,5.575314853333333,2009,"['Science Fiction', 'Action', 'Adventure']"
Transformers: Age of Extinction,2014-06-25,210000000,1091405097,5.1971671285714285,2014,"['Science Fiction', 'Action', 'Adventure']"
Oz: The Great and Powerful,2013-03-07,200000000,491868548,2.45934274,2013,"['Fantasy', 'Adventure', 'Family']"
The Amazing Spider-Man 2,2014-04-16,200000000,705717432,3.52858716,2014,"['Action', 'Adventure', 'Fantasy']"
TRON: Legacy,2010-12-10,170000000,400062763,2.3533103705882352,2010,"['Adventure', 'Action', 'Science Fiction']"
Cars 2,2011-06-11,200000000,559852396,2.79926198,2011,"['Animation', 'Family', 'Adventure', 'Comedy']"
Green Lantern,2011-06-16,200000000,219851172,1.09925586,2011,"['Adventure', 'Action', 'Thriller', 'Science Fiction']"
Toy Story 3,2010-06-16,200000000,1066969703,5.334848515,2010,"['Animation', 'Family', 'Comedy']"
Terminator Salvation,2009-05-20,200000000,371353001,1.856765005,2009,"['Action', 'Science Fiction', 'Thriller']"
Furious 7,2015-04-01,190000000,1506249360,7.927628210526316,2015,['Action']
World War Z,2013-06-20,200000000,531865000,2.659325,2013,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']"
X-Men: Days of Future Past,2014-05-15,250000000,747862775,2.9914511,2014,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
Star Trek Into Darkness,2013-05-05,190000000,467365246,2.4598170842105263,2013,"['Action', 'Adventure', 'Science Fiction']"
Jack the Giant Slayer,2013-02-27,195000000,197687603,1.0137825794871795,2013,"['Action', 'Family', 'Fantasy']"
The Great Gatsby,2013-05-10,105000000,351040419,3.3432420857142855,2013,"['Drama', 'Romance']"
Prince of Persia: The Sands of Time,2010-05-19,150000000,335154643,2.2343642866666666,2010,"['Adventure', 'Fantasy', 'Action', 'Romance']"
Pacific Rim,2013-07-11,180000000,407602906,2.264460588888889,2013,"['Action', 'Science Fiction', 'Adventure']"
Transformers: Dark of the Moon,2011-06-28,195000000,1123746996,5.762805107692308,2011,"['Action', 'Science Fiction', 'Adventure']"
Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,185000000,786636033,4.252086664864865,2008,"['Adventure', 'Action']"
The Good Dinosaur,2015-11-14,175000000,331926147,1.89672084,2015,"['Adventure', 'Animation', 'Family']"
Brave,2012-06-21,185000000,538983207,2.9134227405405406,2012,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']"
Star Trek Beyond,2016-07-07,185000000,343471816,1.8566044108108108,2016,"['Action', 'Adventure', 'Science Fiction']"
WALL·E,2008-06-22,180000000,521311860,2.896177,2008,"['Animation', 'Family']"
Rush Hour 3,2007-08-08,140000000,258022233,1.84301595,2007,"['Action', 'Comedy', 'Crime', 'Thriller']"
2012,2009-10-10,200000000,769653595,3.848267975,2009,"['Action', 'Adventure', 'Science Fiction']"
A Christmas Carol,2009-11-04,200000000,325233863,1.626169315,2009,"['Animation', 'Drama']"
Jupiter Ascending,2015-02-04,176000003,183987723,1.0453847719536686,2015,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']"
The Legend of Tarzan,2016-06-29,180000000,356743061,1.9819058944444445,2016,"['Action', 'Adventure']"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,180000000,748806957,4.16003865,2005,"['Adventure', 'Family', 'Fantasy']"
X-Men: Apocalypse,2016-05-18,178000000,543934787,3.0558134101123597,2016,['Science Fiction']
The Dark Knight,2008-07-16,185000000,1004558444,5.430045643243243,2008,"['Drama', 'Action', 'Crime', 'Thriller']"
Up,2009-05-13,175000000,735099082,4.200566182857143,2009,"['Animation', 'Comedy', 'Family', 'Adventure']"
Monsters vs Aliens,2009-03-19,175000000,381509870,2.1800564,2009,"['Animation', 'Family', 'Adventure', 'Science Fiction']"
Iron Man,2008-04-30,140000000,585174222,4.179815871428572,2008,"['Action', 'Science Fiction', 'Adventure']"
Hugo,2011-11-22,170000000,185770160,1.0927656470588236,2011,"['Adventure', 'Drama', 'Family']"
Wild Wild West,1999-06-29,170000000,222104681,1.3064981235294117,1999,"['Action', 'Adventure', 'Comedy', 'Science Fiction', 'Western']"
The Mummy: Tomb of the Dragon Emperor,2008-07-01,145000000,401128639,2.7664044068965516,2008,"['Adventure', 'Action', 'Fantasy']"
Suicide Squad,2016-08-02,175000000,745000000,4.257142857142857,2016,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']"
Evan Almighty,2007-06-09,175000000,173000000,0.9885714285714285,2007,"['Fantasy', 'Comedy', 'Family']"
Edge of Tomorrow,2014-05-27,178000000,370541256,2.081692449438202,2014,"['Action', 'Science Fiction']"
Waterworld,1995-07-28,175000000,264218220,1.5098184,1995,"['Adventure', 'Action']"
G.I. Joe: The Rise of Cobra,2009-08-04,175000000,302469017,1.7283943828571429,2009,"['Adventure', 'Action', 'Thriller', 'Science Fiction']"
Inside Out,2015-06-09,175000000,857611174,4.90063528,2015,"['Drama', 'Comedy', 'Animation', 'Family']"
The Jungle Book,2016-04-07,175000000,966550600,5.523146285714286,2016,"['Family', 'Adventure', 'Drama', 'Fantasy']"
